Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre preocupações e opções de saúde mental para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levasse a solicitar uma licença médica do trabalho, pedir que a licença seria:",Você acha que discutir um distúrbio de saúde mental com seu empregador teria consequências negativas?,Você acha que discutir um problema de saúde física com seu empregador teria consequências negativas?,Você se sentiria à vontade para discutir um distúrbio de saúde mental com seus colegas de trabalho?,Você se sentiria confortável discutindo um distúrbio de saúde mental com seu (s) supervisor (s) direto (s)?,Você acha que seu empregador leva a saúde mental tão a sério quanto a saúde física?,Você já ouviu falar ou observar consequências negativas para os colegas de trabalho que foram abertos sobre problemas de saúde mental em seu local de trabalho?,Você estaria disposto a discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria um problema de saúde mental com um empregador em potencial em uma entrevista?,Você sente que ser identificado como uma pessoa com um problema de saúde mental prejudicaria sua carreira?,Você acha que os membros da equipe/colegas de trabalho o levariam mais negativamente se soubessem que você sofria de um problema de saúde mental?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você tem um histórico familiar de doença mental?,Você já teve um distúrbio de saúde mental no passado?,Você atualmente tem um distúrbio de saúde mental?,Você foi diagnosticado com uma condição de saúde mental por um profissional médico?,Você já procurou tratamento para um problema de saúde mental de um profissional de saúde mental?,"Se você tem um problema de saúde mental, sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um problema de saúde mental, sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz?",Qual é a sua idade?,Qual é o seu gênero?,Qual das opções a seguir melhor descreve sua posição de trabalho?,Você trabalha remotamente?
0,26-100,1.0,Not eligible for coverage / N/A,,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,Yes,0,Not applicable to me,Not applicable to me,39,Male,Back-end Developer,Sometimes
0,6-25,1.0,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,29,male,Back-end Developer|Front-end Developer,Never
0,6-25,1.0,No,,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,I don't know,Yes,Yes,Maybe,Maybe,Somewhat open,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,38,Male ,Back-end Developer,Always
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,Maybe,"Yes, I think it would",Maybe,Neutral,No,Yes,Yes,Yes,1,Sometimes,Sometimes,43,male,Supervisor/Team Lead,Sometimes
0,6-25,0.0,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,Some of my previous employers,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,43,Female,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes
0,More than 1000,1.0,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,"No, at none of my previous employers",Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No,Yes,No,1,Not applicable to me,Often,42,Male,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer,Sometimes
0,26-100,1.0,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"Yes, at all of my previous employers",Yes,Yes,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,30,M,Back-end Developer,Sometimes
0,More than 1000,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Often,37,female,Dev Evangelist/Advocate|Back-end Developer,Always
0,26-100,0.0,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,"No, at none of my previous employers",Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,44,Female,Support|Back-end Developer|One-person shop,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,Maybe,Maybe,"No, I don't think they would",Very open,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,One-person shop|Front-end Developer|Back-end Developer,Always
0,26-100,1.0,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Yes,Yes,"No, I don't think it would",Maybe,Very open,I don't know,Yes,Yes,Yes,1,Sometimes,Often,28,Male,Front-end Developer,Never
