Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu papel principal na sua empresa está relacionado à tecnologia/TI?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura de saúde fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre distúrbios de saúde mental e opções para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levou a solicitar uma licença médica do trabalho, quão fácil ou difícil seria pedir essa licença?",Você se sentiria mais confortável conversando com seus colegas de trabalho sobre sua saúde física ou sua saúde mental?,Você se sentiria à vontade para discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você já discutiu sua saúde mental com seu empregador?,Você se sentiria à vontade para discutir um problema de saúde mental com seus colegas de trabalho?,Você já discutiu sua saúde mental com colegas de trabalho?,Você já teve um colega de trabalho discutir a saúde mental de seu ou outro colega de trabalho com você?,"No geral, quanta importância seu empregador coloca na saúde física?","No geral, quanta importância seu empregador coloca na saúde mental?",Você estaria disposto a discutir sua saúde mental com seu (s) supervisor (s) direto (s)?,Você atualmente tem um distúrbio de saúde mental?,Você já teve um distúrbio de saúde mental no passado?,Você já procurou tratamento para um distúrbio de saúde mental de um profissional de saúde mental?,Você tem um histórico familiar de doença mental?,"Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz (ou seja, quando está experimentando sintomas)?",Suas observações de como outro indivíduo que discutiu um problema de saúde mental tornou a probabilidade de você revelar um problema de saúde mental no seu local de trabalho atual?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria sua saúde mental com um empregador em potencial em uma entrevista?,Você é identificado abertamente no trabalho como uma pessoa com um problema de saúde mental?,"No geral, como você acha que o setor de tecnologia apoia funcionários com problemas de saúde mental?",Qual é a sua idade?,Qual é o seu gênero?
0,100-500,1.0,1.0,No,Yes,No,I don't know,I don't know,I don't know,Same level of comfort for each,Yes,0.0,Yes,1,1,6,0.0,"Yes, all of my previous supervisors",Possibly,Possibly,1,No,Sometimes,Sometimes,No,5,Yes,No,0,1,27,Female
0,100-500,1.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,Yes,1,1,7,2.0,"No, none of my previous supervisors",Possibly,Possibly,0,No,Not applicable to me,Sometimes,No,4,Yes,No,0,2,31,male
0,6-25,1.0,1.0,I don't know,No,I don't know,No,Yes,Difficult,Same level of comfort for each,Yes,1.0,Maybe,1,0,0,1.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Sometimes,Yes,5,Maybe,No,1,1,36,male
0,More than 1000,1.0,1.0,Yes,Yes,I don't know,I don't know,Yes,Difficult,Same level of comfort for each,Yes,1.0,Yes,1,0,7,5.0,,Yes,No,1,I don't know,Sometimes,Often,No,10,No,No,0,2,22,Male
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,Yes,1,Yes,Often,Sometimes,No,10,Maybe,No,0,1,52,female
0,100-500,1.0,0.0,Yes,No,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,0.0,Maybe,0,0,9,5.0,Some of my previous supervisors,No,No,0,Yes,Rarely,Not applicable to me,Maybe,5,Maybe,No,0,2,30,male
0,6-25,1.0,1.0,Yes,Yes,No,No,Yes,Very easy,Same level of comfort for each,Yes,0.0,No,1,1,10,10.0,Some of my previous supervisors,Yes,No,1,Yes,Rarely,Often,No,8,No,No,1,2,36,F
0,26-100,1.0,1.0,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,0.0,Maybe,0,1,10,8.0,Some of my previous supervisors,No,No,1,Yes,Not applicable to me,Not applicable to me,No,3,No,No,0,2,38,Female
0,100-500,0.0,1.0,I don't know,No,No,No,Yes,Very easy,Same level of comfort for each,Maybe,0.0,Maybe,0,0,9,7.0,"No, none of my previous supervisors",Don't Know,No,0,I don't know,Not applicable to me,Not applicable to me,Maybe,6,No,No,0,2,35,Male
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Possibly,No,1,No,Often,Sometimes,No,4,Maybe,No,1,3,36,male
