Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu papel principal na sua empresa está relacionado à tecnologia/TI?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura de saúde fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre distúrbios de saúde mental e opções para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levou a solicitar uma licença médica do trabalho, quão fácil ou difícil seria pedir essa licença?",Você se sentiria mais confortável conversando com seus colegas de trabalho sobre sua saúde física ou sua saúde mental?,Você se sentiria à vontade para discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você já discutiu sua saúde mental com seu empregador?,Você se sentiria à vontade para discutir um problema de saúde mental com seus colegas de trabalho?,Você já discutiu sua saúde mental com colegas de trabalho?,Você já teve um colega de trabalho discutir a saúde mental de seu ou outro colega de trabalho com você?,"No geral, quanta importância seu empregador coloca na saúde física?","No geral, quanta importância seu empregador coloca na saúde mental?",Você estaria disposto a discutir sua saúde mental com seu (s) supervisor (s) direto (s)?,Você atualmente tem um distúrbio de saúde mental?,Você já teve um distúrbio de saúde mental no passado?,Você já procurou tratamento para um distúrbio de saúde mental de um profissional de saúde mental?,Você tem um histórico familiar de doença mental?,"Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz (ou seja, quando você está experimentando sintomas)?",Suas observações de como outro indivíduo que discutiu um problema de saúde mental tornou a probabilidade de você revelar um problema de saúde mental no seu local de trabalho atual?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria sua saúde mental com um empregador em potencial em uma entrevista?,Você é identificado abertamente no trabalho como uma pessoa com um problema de saúde mental?,"No geral, como você acha que o setor de tecnologia apoia funcionários com problemas de saúde mental?",Qual é a sua idade?,Qual é o seu gênero?
False,26-100,True,True,I don't know,No,Yes,Yes,I don't know,Very easy,Physical health,Yes,False,Yes,True,True,5,5.0,Some of my previous supervisors,Don't Know,No,FALSE,No,Not applicable to me,Not applicable to me,No,8,Yes,Maybe,FALSE,4.0,25,Male
False,26-100,True,True,Yes,No,No,Yes,Yes,I don't know,Physical health,Maybe,False,Maybe,True,True,5,7.0,Some of my previous supervisors,Possibly,Possibly,FALSE,Yes,Sometimes,Often,No,7,No,No,FALSE,1.0,51,male
False,26-100,True,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,No,False,Maybe,True,True,5,4.0,"No, none of my previous supervisors",No,No,FALSE,I don't know,Not applicable to me,Not applicable to me,No,4,Maybe,No,FALSE,2.0,27,Male
False,100-500,True,True,I don't know,No,Yes,Yes,Yes,Very easy,Physical health,Yes,False,Maybe,False,True,1,3.0,Some of my previous supervisors,No,No,FALSE,Yes,Not applicable to me,Not applicable to me,No,3,No,No,FALSE,3.0,37,male
False,26-100,True,True,I don't know,No,I don't know,I don't know,I don't know,I don't know,Physical health,No,False,No,False,False,4,4.0,"No, none of my previous supervisors",No,No,FALSE,No,Not applicable to me,Not applicable to me,,1,No,No,FALSE,3.0,46,m
False,100-500,True,False,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,False,Yes,True,True,6,5.0,Some of my previous supervisors,Yes,Yes,TRUE,Yes,Sometimes,Often,No,5,No,No,FALSE,3.0,36,female
False,26-100,True,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,False,Maybe,True,True,5,5.0,Some of my previous supervisors,Yes,Yes,TRUE,Yes,Rarely,Sometimes,No,7,Yes,No,FALSE,3.0,39,Female
True,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Possibly,No,TRUE,Yes,Rarely,Sometimes,No,5,Maybe,No,FALSE,3.0,35,Male
False,26-100,True,True,Yes,No,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,True,True,8,7.0,Some of my previous supervisors,No,Yes,FALSE,No,Never,Not applicable to me,No,5,Maybe,No,FALSE,2.0,49,
False,6-25,True,True,I don't know,,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,False,Maybe,True,False,8,8.0,Some of my previous supervisors,Possibly,Don't Know,TRUE,I don't know,Sometimes,Sometimes,Maybe,2,Maybe,Maybe,FALSE,3.0,45,Male
