iter	MultiClass
0	1.008502619
1	0.9372229154
2	0.872627654
3	0.8207739443
4	0.7735994866
5	0.7275927582
6	0.6921213688
7	0.6614058235
8	0.6312151611
9	0.6047374917
10	0.5808578421
11	0.5584562902
12	0.5392914663
13	0.5204074386
14	0.5056512513
15	0.4912666168
16	0.4790270172
17	0.4656754858
18	0.4538650094
19	0.4410221277
20	0.4308654608
21	0.4213591235
22	0.4129684835
23	0.405567492
24	0.3977501449
25	0.3908784949
26	0.3842889148
27	0.3768579714
28	0.3697382574
29	0.3645591963
30	0.3580647019
31	0.3525897172
32	0.3476821301
33	0.3431775709
34	0.3389174297
35	0.3342179277
36	0.329462829
37	0.3257558388
38	0.3222543644
39	0.3189664063
40	0.3159631467
41	0.312599327
42	0.3092910163
43	0.3066830594
44	0.3045093076
45	0.3020014704
46	0.2990056792
47	0.2958028096
48	0.2935733789
49	0.2912341826
50	0.2891760737
51	0.286773529
52	0.2843429228
53	0.2824465864
54	0.2809414384
55	0.278376904
56	0.2768627125
57	0.275060752
58	0.2728649249
59	0.2712628921
60	0.269391747
61	0.2677589735
62	0.2658770844
63	0.2640750315
64	0.2626442348
65	0.2609884737
66	0.2595423085
67	0.2580325161
68	0.2568220969
69	0.2551028556
70	0.2538246637
71	0.2526040615
72	0.2506607383
73	0.249653079
74	0.2478532462
75	0.2465214308
76	0.2449717505
77	0.243692672
78	0.2428794784
79	0.2412304843
80	0.2393218221
81	0.2379721458
82	0.2366007412
83	0.2354696424
84	0.2339937937
85	0.2331526515
86	0.2318679479
87	0.2307407025
88	0.2296651442
89	0.2284737378
90	0.2270847727
91	0.2259878373
92	0.2246776969
93	0.2234996826
94	0.2225557061
95	0.2212683561
96	0.2195240373
97	0.2187443853
98	0.218042675
99	0.2172090822
100	0.2167593751
101	0.2159669328
102	0.2148303132
103	0.2139527223
104	0.2127426878
105	0.2117537408
106	0.2106874968
107	0.2095900871
108	0.2083526138
109	0.2075245636
110	0.2067165118
111	0.2057296117
112	0.2044174275
113	0.2029728313
114	0.2021531791
115	0.201258716
116	0.2006042025
117	0.1998841525
118	0.1988324094
119	0.1981135419
120	0.1975786516
121	0.1968608019
122	0.1955697122
123	0.1947606174
124	0.1935996464
125	0.1928664757
126	0.1919072179
127	0.1912613547
128	0.190658211
129	0.1896120481
130	0.1886120712
131	0.1875031916
132	0.1866841613
133	0.1856373487
134	0.1848863856
135	0.1841846112
136	0.1834968861
137	0.1825796369
138	0.1817783823
139	0.1806637059
140	0.1794285494
141	0.178670392
142	0.1779245114
143	0.1768895809
144	0.1760870463
145	0.1751541804
146	0.1743649387
147	0.1737582164
148	0.1731592424
149	0.1724244461
150	0.171640554
151	0.1711677753
152	0.1704972465
153	0.1697237256
154	0.1688662354
155	0.1682043646
156	0.1674747008
157	0.1666532854
158	0.1653048952
159	0.1649290185
160	0.1645474489
161	0.1641239362
162	0.1635349058
163	0.1626758321
164	0.1617168291
165	0.1609240752
166	0.1602768692
167	0.1595632548
168	0.1590682713
169	0.158642235
170	0.1583463161
171	0.1578420776
172	0.1573685194
173	0.1568218992
174	0.1562008347
175	0.1558904122
176	0.1550931058
177	0.1544984395
178	0.1536727985
179	0.1526960534
180	0.1520323571
181	0.1512569322
182	0.1504678306
183	0.1495170833
184	0.1491718709
185	0.1479815856
186	0.1475329768
187	0.1467726477
188	0.1463333543
189	0.1452709133
190	0.1444972349
191	0.1438785621
192	0.1431823276
193	0.1427799926
194	0.1421406893
195	0.1415761136
196	0.1410391063
197	0.1401848211
198	0.1397225531
199	0.1393479886
200	0.1388523057
201	0.1384088633
202	0.1380274728
203	0.1377632512
204	0.1373051055
205	0.1365252174
206	0.1361011132
207	0.1355596023
208	0.1347313507
209	0.1344477304
210	0.1338117349
211	0.1333355803
212	0.1330116007
213	0.1325510494
214	0.1320670077
215	0.1313758713
216	0.1308470744
217	0.1305349661
218	0.1296000248
219	0.129138438
220	0.1281840459
221	0.1277074212
222	0.1274500591
223	0.1267300514
224	0.1262812734
225	0.125673543
226	0.1250795541
227	0.1241755916
228	0.123885513
229	0.1233081417
230	0.1228361554
231	0.1221834346
232	0.1213910931
233	0.1210237662
234	0.1204333691
235	0.1200882954
236	0.1194533703
237	0.1189442131
238	0.1184233113
239	0.1181343913
240	0.117574145
241	0.1171694595
242	0.1169610704
243	0.1165076018
244	0.1160055493
245	0.1156187251
246	0.1151997929
247	0.1147518675
248	0.1143787429
249	0.1136756438
250	0.1130004035
251	0.1125606315
252	0.1123170019
253	0.1118710487
254	0.111693829
255	0.1112125356
256	0.1109125081
257	0.1106208054
258	0.1102804482
259	0.1098639867
260	0.1094376499
261	0.1090234832
262	0.1086525796
263	0.1082489635
264	0.1078678845
265	0.1073368523
266	0.1070235489
267	0.1065187046
268	0.1062418183
269	0.1059239773
270	0.1054970673
271	0.105281997
272	0.1047620705
273	0.104342877
274	0.1041994404
275	0.1038127705
276	0.1033567866
277	0.1029764092
278	0.1027809724
279	0.1023758518
280	0.1021678604
281	0.101947901
282	0.1014846093
283	0.1011868555
284	0.1009591292
285	0.1005976793
286	0.1002161452
287	0.09972570952
288	0.09935725039
289	0.09899753782
290	0.09882252234
291	0.09817532946
292	0.09773336685
293	0.09738913962
294	0.0969763715
295	0.09661424952
296	0.0963467875
297	0.09607680536
298	0.09566940071
299	0.09525606435
300	0.0949036562
301	0.09475785746
302	0.09456304172
303	0.09437255948
304	0.09411052187
305	0.09383137982
306	0.09325403953
307	0.09308054959
308	0.09268984373
309	0.09238620499
310	0.09214419462
311	0.0919852552
312	0.09171014453
313	0.09147409577
314	0.09115247327
315	0.09087931971
316	0.09056596863
317	0.09025637143
318	0.08993539774
319	0.08968255042
320	0.08944762931
321	0.08898340164
322	0.08876013914
323	0.08850533609
324	0.08836169711
325	0.08794892316
326	0.08754355977
327	0.08731467641
328	0.0870006412
329	0.08667890467
330	0.08647874458
331	0.08621893185
332	0.08580587897
333	0.08547891347
334	0.08507939397
335	0.08474507269
336	0.08431106923
337	0.0840909308
338	0.08382544089
339	0.08342743316
340	0.08315760168
341	0.08292026716
342	0.08240271824
343	0.08228583924
344	0.0817603165
345	0.08153874492
346	0.08133056177
347	0.08097107104
348	0.08081244618
349	0.08061780786
350	0.08027213213
351	0.08013674906
352	0.0799295773
353	0.07968902479
354	0.0795104416
355	0.07915512324
356	0.07885457473
357	0.07853717111
358	0.07823235738
359	0.07783450161
360	0.07746091848
361	0.0772094361
362	0.0768728803
363	0.07659069397
364	0.07622755164
36365	0.07293051599
366	0.07272519804
367	0.07249317109
368	0.07216755795
369	0.07206988503
370	0.07185005903
371	0.07164325853
372	0.07135556032
373	0.0710957078
374	0.07087258753
375	0.07056585711
376	0.07028067983
377	0.07005078061
378	0.06977874137
379	0.06944316628
380	0.06919566319
381	0.06898885932
382	0.06878419444
383	0.06862834022
384	0.06847241576
385	0.06821364065
386	0.06796332493
387	0.06780601707
388	0.06757554032
389	0.06728720155
390	0.0671349539
391	0.06700208627
392	0.06688705433
393	0.06671546002
394	0.0665749656
395	0.06631972425
396	0.06608503834
397	0.06589769187
398	0.06564586419
399	0.06543813593
400	0.06521366702
401	0.06494601156
402	0.06471675079
403	0.06442488291
404	0.06419513928
405	0.06389635978
406	0.06372829841
407	0.06350599984
408	0.06324900902
409	0.06306204268
410	0.06271044207
411	0.06261943223
412	0.06243317693
413	0.06217365815
414	0.06197259808
415	0.0618078346
416	0.06158620637
417	0.06138529312
418	0.0612724212
419	0.06114991746
420	0.06098032777
421	0.06083058314
422	0.06068721934
423	0.06044156588
424	0.06019454011
425	0.0599979212
426	0.0598066579
427	0.05961955624
428	0.05947855055
429	0.05925904674
430	0.05909614549
431	0.059026957
432	0.0588792624
433433	0.062411934434434	0.06221221311
435	0.06208810281
436	0.06190094009
437	0.0618510934
438	0.06172859814
439	0.06155923528
440	0.06139580536
441	0.0611540391442	0.05715852786
443	0.05694500323
444	0.05681233603
445	0.0566748028
446	0.05652653517
447	0.0564527075
448	0.05627832337
449	0.05611820048
450	0.0558842633
451	0.05575172944
452	0.05556051774
453	0.05537207627
454	0.05519842454
455	0.05503022332
456	0.05489628225
457	0.05475514898
458	0.05456313916
459	0.05434132796
460	0.05410791117
461	0.05392462575
462	0.05367311667
463	0.05360837267
464	0.05347088898
465	0.0533652459
466	0.05320397672
467	0.05309878314
468	0.05291361947
469	0.05279451088
470	0.05262071642
471	0.05245082269
472	0.05228788356
473	0.05210267012
474	0.05184832796
475	0.05163092557
476	0.05148618493
477	0.05134745884
478	0.05118038904
479	0.05106346095
480	0.0509665487
481	0.0508675292
482	0.05071798733
483	0.05055145362
484	0.05042346754
485	0.05023539071
486	0.05010569588
487	0.04996197121
488	0.049823407
489	0.04970105487
490	0.04958822182
491	0.04946067564
492	0.04935646071
493	0.04921190182
494	0.04910270635
495	0.04892198748
496	0.04876806041
497	0.04867569903
498	0.04853906497
499	0.04836368218
500	0.04822264866
501	0.04814342692
502	0.04798649678
503	0.04792150858
504	0.04775045259
505	0.04763224406
506	0.04748139653
507	0.04736022786
508	0.04726548329
509	0.04711483664
510	0.04704439844
511	0.04690700189
512	0.04683348735
513	0.04670442284
514	0.04659024985
515	0.04644622435
516	0.0463349329
517	0.04622730485
518	0.04611476869
519	0.04605938304
520	0.04598387339
521	0.04582451165
522	0.04575115242
523	0.04566036246
524	0.04555794537
525	0.04546729132
526	0.04537592615
527	0.04521878753
528	0.04510206433
529	0.04498063414
530	0.04482439794
531	0.04473699087
532	0.04463069631
533	0.04448533629
534	0.0443811231
535	0.04429677391
536	0.04416062283
537	0.04404574154
538	0.04390761655
539	0.04379003749
540	0.04369911367
541	0.04360552758
542	0.04349969982
543	0.04341954099
544	0.0433147237
545	0.04319104269
546	0.04313046803
547	0.04304048641
548	0.04297995416
549	0.04285586317
550	0.04275438064
551	0.04262965866
552	0.04252131892
553	0.04240455709
554	0.04227518533
555	0.04222170669
556	0.04215423257
557	0.04204965961
558	0.04198968954
559	0.0419293589
560	0.04181140722
561	0.04170554242
562	0.04158760788
563	0.04140966771
564	0.04135211831
565	0.04123967199
566	0.04109629268
567	0.04098459351
568	0.04087985448
569	0.04083981383
570	0.0407970573
571	0.04072052528
572	0.04065005262
573	0.0405672496
574	0.04043665876
575	0.04035027984
576	0.04029083132
577	0.0401936679
578	0.04007140099
579	0.04000508095
580	0.0398849686
581	0.03973979722
582	0.03967575929
583	0.03953978749
584	0.03949468688
585	0.03942828986
586	0.03934614934
587	0.03921068008
588	0.03914223498
589	0.03908590237
590	0.0389706877
591	0.03889704813
592	0.03881017469
593	0.03870369744
594	0.03859125818
595	0.03852548395
596	0.03846488218
597	0.03837106049
598	0.03828230038
599	0.03815328344
600	0.03804251028
601	0.0379691792
602	0.03784512043
603	0.03772433958
604	0.03765861829
605	0.03757242414
606	0.03744251778
607	0.03733441721
608	0.03725408497
609	0.03720003505
610	0.03709561088
611	0.03703038064
612	0.03695355145
613	0.03682127735
614	0.03674634121
