iter	Passed	Remaining
0	17	17586
1	41	20822
2	206	68473
3	307	76674
4	343	68320
5	401	66530
6	509	72226
7	579	71895
8	659	72643
9	704	69724
10	781	70220
11	864	71183
12	919	69844
13	963	67850
14	1024	67296
15	1064	65468
16	1089	62978
17	1139	62181
18	1176	60765
19	1216	59589
20	1260	58765
21	1293	57512
22	1332	56585
23	1375	55924
24	1415	55201
25	1441	53997
26	1471	53011
27	1533	53221
28	1553	52016
29	1568	50711
30	1581	49442
31	1608	48642
32	1615	47339
33	1650	46904
34	1668	45999
35	1693	45344
36	1723	44850
37	1752	44358
38	1775	43747
39	1800	43201
40	1817	42513
41	1824	41621
42	1829	40722
43	1896	41212
44	1936	41098
45	1975	40976
46	2025	41061
47	2042	40516
48	2084	40456
49	2107	40045
50	2121	39476
51	2159	39375
52	2178	38927
53	2190	38367
54	2225	38236
55	2260	38112
56	2275	37645
57	2299	37353
58	2309	36829
59	2318	36329
60	2325	35804
61	2385	36094
62	2413	35896
63	2448	35805
64	2465	35458
65	2480	35109
66	2548	35483
67	2558	35073
68	2582	34840
69	2595	34489
70	2614	34215
71	2623	33814
72	2658	33763
73	2690	33667
74	2704	33351
75	2747	33407
76	2760	33092
77	2786	32934
78	2804	32699
79	2843	32699
80	2861	32462
81	2868	32115
82	2877	31789
83	2884	31455
84	2892	31137
85	2922	31055
86	2930	30757
87	2941	30487
88	2947	30175
89	2955	29883
90	2963	29602
91	3014	29749
92	3049	29744
93	3080	29688
94	3108	29616
95	3154	29705
96	3177	29578
97	3216	29601
98	3237	29461
99	3260	29346
100	3277	29169
101	3309	29136
102	3319	28905
103	3331	28697
104	3356	28611
105	3425	28891
106	3468	28947
107	3488	28815
108	3533	28882
109	3615	29253
110	3637	29134
111	3690	29264
112	3751	29444
113	3792	29478
114	3848	29614
115	3865	29456
116	3896	29407
117	3921	29310
118	3944	29205
119	3979	29184
120	4030	29276
121	4053	29172
122	4092	29181
123	4144	29280
124	4166	29165
125	4208	29189
126	4234	29106
127	4255	28991
128	4328	29224
129	4342	29063
130	4394	29150
131	4408	28987
132	4414	28779
133	4423	28587
134	4431	28391
135	4470	28402
136	4491	28295
137	4497	28090
138	4513	27955
139	4550	27953
140	4580	27906
141	4596	27771
142	4622	27701
143	4647	27629
144	4659	27475
145	4678	27363
146	4703	27294
147	4729	27228
148	4746	27110
149	4772	27041
150	4794	26956
151	4806	26817
152	4826	26721
153	4836	26570
154	4879	26599
155	4899	26506
156	4927	26455
157	4943	26343
158	4971	26294
159	4999	26246
160	5021	26168
161	5061	26181
162	5092	26151
163	5110	26048
164	5153	26078
165	5182	26036
166	5198	25928
167	5240	25953
168	5263	25879
169	5284	25801
170	5293	25664
171	5301	25520
172	5309	25380
173	5357	25431
174	5376	25346
175	5413	25344
176	5428	25241
177	5438	25112
178	5473	25106
179	5496	25041
180	5535	25045
181	5561	24996
182	5577	24902
183	5606	24865
184	5628	24794
185	5656	24756
186	5699	24779
187	5722	24715
188	5761	24723
189	5791	24692
190	5819	24650
191	5886	24770
192	5917	24743
193	5939	24677
194	5987	24715
195	6057	24847
196	6105	24885
197	6185	25052
198	6225	25057
199	6250	25003
200	6317	25111
201	6357	25115
202	6374	25025
203	6389	24930
204	6482	25138
205	6513	25104
206	6528	25011
207	6600	25132
208	6638	25126
209	6660	25057
210	6693	25029
211	6708	24936
212	6730	24869
213	6747	24784
214	6770	24718
215	6796	24668
216	6809	24570
217	6825	24482
218	6846	24415
219	6878	24386
220	6920	24393
221	6934	24301
222	6983	24332
223	7000	24252
224	7038	24243
225	7052	24153
226	7078	24103
227	7091	24012
228	7125	23989
229	7138	23896
230	7162	23842
231	7179	23765
232	7225	23786
233	7302	23905
234	7387	24048
235	7439	24085
236	7527	24235
237	7547	24163
238	7562	24079
239	7579	24001
240	7637	24052
241	7652	23968
242	7670	23894
243	7720	23919
244	7729	23820
245	7768	23809
246	7787	23741
247	7815	23697
248	7849	23674
249	7907	23722
250	7936	23682
251	7978	23683
252	8036	23727
253	8108	23813
254	8155	23825
255	8203	23840
256	8261	23883
257	8321	23932
258	8375	23961
259	8414	23949
260	8462	23961
261	8515	23985
262	8571	24018
263	8633	24068
264	8705	24144
265	8734	24101
266	8782	24110
267	8855	24187
268	8883	24140
269	8946	24189
270	8956	24093
271	8966	23998
272	8974	23900
273	8981	23797
