autonomo,num_func,emp_tec,papel_tec,beneficios_mental,conhecimento_opcoes_mental,discussao_formal_mental,recursos_aprendizado_mental,anonimato_protegido,dificuldade_licenca_mental,conforto_conversar_saude,conforto_discutir_supervisor,discussao_saude_mental_emp,conforto_discutir_colegas,discussao_saude_mental_colegas,discussao_saude_mental_colegas_outro,importancia_saude_fisica_emp,importancia_saude_mental_emp,emp_tec_anterior,disposto_discutir_supervisor,disturbio_saude_mental_atual,disturbio_saude_mental_passado,tratamento_profissional_mental,historico_familiar_mental,interferencia_tratamento_eficaz,interferencia_sem_tratamento_eficaz,observacoes_discussao_mental,disposto_compartilhar_amigos_familiares,disposto_apresentar_saude_entrevista,traria_saude_mental_entrevista,identificado_abertamente_mental,reacao_membros_equipe_mental,apoio_setor_tecnologia_mental,idade,genero,ano
0,100-500,Yes,Yes,No,Yes,No,I don't know,I don't know,I don't know,Same level of comfort for each,Yes,No,Yes,Yes,Yes,6.0,0.0,,"Yes, all of my previous supervisors",Maybe,Possibly,Yes,No,Sometimes,Sometimes,No,Yes,Yes,No,No,10.0,1,27.0,F,2017-01-01
0,100-500,Yes,Yes,Yes,Yes,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,No,Yes,Yes,Yes,7.0,2.0,,"No, none of my previous supervisors",Maybe,Possibly,No,No,Not applicable to me,Sometimes,No,Yes,Yes,No,No,6.0,2,31.0,M,2017-01-01
0,6-25,Yes,Yes,I don't know,No,I don't know,No,Yes,Difficult,Same level of comfort for each,Yes,Yes,Maybe,Yes,No,0.0,1.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Maybe,No,Yes,5.0,1,36.0,M,2017-01-01
0,More than 1000,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Difficult,Same level of comfort for each,Yes,Yes,Yes,Yes,No,7.0,5.0,,,Yes,No,Yes,,Sometimes,Often,No,Yes,No,No,No,5.0,2,22.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,Yes,Yes,Yes,Often,Sometimes,No,Yes,Maybe,No,No,4.0,1,52.0,F,2017-01-01
0,100-500,Yes,No,Yes,No,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,No,Maybe,No,No,9.0,5.0,,Some of my previous supervisors,No,No,No,Yes,Rarely,Not applicable to me,Maybe,Yes,Maybe,No,No,4.0,2,30.0,M,2017-01-01
0,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Very easy,Same level of comfort for each,Yes,No,No,Yes,Yes,10.0,10.0,,Some of my previous supervisors,Yes,No,Yes,Yes,Rarely,Often,No,Yes,No,No,Yes,5.0,2,36.0,F,2017-01-01
0,26-100,Yes,Yes,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,No,Maybe,No,Yes,10.0,8.0,,Some of my previous supervisors,No,No,Yes,Yes,Not applicable to me,Not applicable to me,No,Yes,No,No,No,7.0,2,38.0,F,2017-01-01
0,100-500,No,Yes,I don't know,No,No,No,Yes,Very easy,Same level of comfort for each,Maybe,No,Maybe,No,No,9.0,7.0,,"No, none of my previous supervisors",Maybe,No,No,,Not applicable to me,Not applicable to me,Maybe,,No,No,No,5.0,2,35.0,M,2017-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Maybe,No,Yes,No,Often,Sometimes,No,Yes,Maybe,No,Yes,4.0,3,36.0,M,2017-01-01
